age,workclass,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,capital_total,hours_age_ratio
82,2,9,6,3,1,4,0,0,4356,18,38,0,-4356,0.21951219512195122
54,2,4,0,6,4,4,0,0,3900,40,38,0,-3900,0.7407407407407407
41,2,10,5,9,3,4,0,0,3900,40,38,0,-3900,0.975609756097561
34,2,9,0,7,4,4,0,0,3770,45,38,0,-3770,1.3235294117647058
38,2,6,5,0,4,4,1,0,3770,40,38,0,-3770,1.0526315789473684
74,5,16,4,9,2,4,0,0,3683,20,38,1,-3683,0.2702702702702703
68,0,9,0,9,1,4,0,0,3683,40,38,0,-3683,0.5882352941176471
45,2,16,0,9,4,2,0,0,3004,35,38,1,-3004,0.7777777777777778
38,4,15,4,9,1,4,1,0,2824,45,38,1,-2824,1.1842105263157894
52,2,13,6,7,1,4,0,0,2824,20,38,1,-2824,0.38461538461538464
32,2,14,5,3,1,4,1,0,2824,55,38,1,-2824,1.71875
46,2,15,0,9,1,4,1,0,2824,40,38,1,-2824,0.8695652173913043
45,2,7,0,13,1,4,1,0,2824,76,38,1,-2824,1.6888888888888889
57,2,14,0,3,1,4,1,0,2824,50,38,1,-2824,0.8771929824561403
34,2,13,5,11,1,4,1,0,2824,50,38,1,-2824,1.4705882352941178
37,2,13,4,3,1,4,1,0,2824,40,38,1,-2824,1.0810810810810811
29,2,7,5,11,1,4,0,0,2754,42,38,0,-2754,1.4482758620689655
61,2,9,0,11,4,4,0,0,2754,25,38,0,-2754,0.4098360655737705
51,2,10,2,13,0,4,1,0,2603,40,38,0,-2603,0.7843137254901961
21,2,11,2,2,0,4,1,0,2603,40,38,0,-2603,1.9047619047619047
33,2,2,2,2,1,4,1,0,2603,32,25,0,-2603,0.9696969696969697
49,2,3,2,7,0,4,1,0,2603,40,11,0,-2603,0.8163265306122449
37,3,6,4,13,1,4,1,0,2559,50,38,1,-2559,1.3513513513513513
38,2,6,4,9,1,4,1,0,2559,90,38,1,-2559,2.3684210526315788
23,2,10,5,7,1,4,1,0,2559,40,38,1,-2559,1.7391304347826086
59,3,6,6,3,4,4,0,0,2559,50,38,1,-2559,0.847457627118644
52,2,15,0,3,1,4,1,0,2559,60,38,1,-2559,1.1538461538461537
51,2,13,0,3,1,4,1,0,2559,50,38,1,-2559,0.9803921568627451
60,4,9,4,3,1,2,1,0,2559,50,38,1,-2559,0.8333333333333334
63,0,16,0,3,1,4,0,0,2559,60,38,1,-2559,0.9523809523809523
53,2,9,4,11,1,4,1,0,2559,48,38,1,-2559,0.9056603773584906
51,2,15,4,9,1,4,0,0,2559,50,38,1,-2559,0.9803921568627451
37,4,16,4,9,1,4,0,0,2559,60,38,1,-2559,1.6216216216216217
54,2,14,0,9,1,4,0,0,2559,40,38,1,-2559,0.7407407407407407
44,2,13,0,3,4,4,1,0,2547,50,38,1,-2547,1.1363636363636365
43,2,14,0,3,4,4,0,0,2547,40,38,1,-2547,0.9302325581395349
51,2,10,0,0,4,4,0,0,2547,40,38,1,-2547,0.7843137254901961
43,2,14,0,9,4,4,0,0,2547,40,38,1,-2547,0.9302325581395349
48,2,13,3,11,4,4,0,0,2472,70,38,1,-2472,1.4583333333333333
71,2,9,2,11,0,4,1,0,2467,52,38,0,-2467,0.7323943661971831
73,4,9,2,4,0,1,1,0,2457,40,39,0,-2457,0.547945205479452
40,4,15,4,9,1,4,1,0,2444,45,38,1,-2444,1.125
50,2,9,6,11,1,4,0,0,2444,72,38,1,-2444,1.44
51,5,11,0,12,1,4,1,0,2444,39,38,1,-2444,0.7647058823529411
42,2,10,4,3,1,4,0,0,2444,40,38,1,-2444,0.9523809523809523
39,2,14,4,11,1,4,1,0,2444,45,38,1,-2444,1.1538461538461537
32,2,13,4,3,2,4,1,0,2444,50,38,1,-2444,1.5625
53,2,10,5,2,1,4,1,0,2444,45,38,1,-2444,0.8490566037735849
40,1,10,4,10,1,4,1,0,2444,40,38,1,-2444,1.0
38,2,13,4,11,1,4,0,0,2444,45,38,1,-2444,1.1842105263157894
33,2,11,5,2,1,4,1,0,2444,42,38,1,-2444,1.2727272727272727
43,2,12,0,2,1,4,1,0,2444,70,38,1,-2444,1.627906976744186
50,3,7,4,3,2,4,1,0,2444,40,38,1,-2444,0.8
44,2,10,2,0,5,4,0,0,2415,6,38,1,-2415,0.13636363636363635
51,4,13,2,11,0,1,1,0,2415,40,2,1,-2415,0.7843137254901961
41,2,15,2,9,0,4,1,0,2415,40,38,1,-2415,0.975609756097561
37,2,14,2,3,0,4,1,0,2415,60,38,1,-2415,1.6216216216216217
55,3,15,2,9,0,4,1,0,2415,35,11,1,-2415,0.6363636363636364
39,3,13,2,11,0,4,1,0,2415,60,38,1,-2415,1.5384615384615385
42,3,15,2,9,0,4,1,0,2415,60,38,1,-2415,1.4285714285714286
49,2,13,2,11,0,4,1,0,2415,55,38,1,-2415,1.1224489795918366
47,4,9,2,3,0,4,1,0,2415,50,38,1,-2415,1.0638297872340425
41,1,15,2,9,0,4,1,0,2415,45,38,1,-2415,1.0975609756097562
55,3,13,2,3,0,4,1,0,2415,50,38,1,-2415,0.9090909090909091
39,2,14,2,3,5,4,0,0,2415,65,38,1,-2415,1.6666666666666667
42,2,13,2,3,0,4,1,0,2415,60,38,1,-2415,1.4285714285714286
46,2,14,2,11,0,4,1,0,2415,65,38,1,-2415,1.4130434782608696
40,2,14,2,3,0,4,1,0,2415,45,38,1,-2415,1.125
32,2,13,2,9,0,4,1,0,2415,48,38,1,-2415,1.5
41,3,10,2,3,0,4,1,0,2415,55,38,1,-2415,1.3414634146341464
60,3,15,2,9,0,4,1,0,2415,80,38,1,-2415,1.3333333333333333
31,2,14,2,3,0,4,1,0,2415,70,35,1,-2415,2.2580645161290325
58,4,10,2,4,0,4,1,0,2415,40,38,1,-2415,0.6896551724137931
37,3,13,2,11,0,4,1,0,2415,50,38,1,-2415,1.3513513513513513
44,4,13,2,3,0,4,1,0,2415,50,38,1,-2415,1.1363636363636365
55,3,13,2,3,0,4,1,0,2415,50,38,1,-2415,0.9090909090909091
44,3,14,2,9,0,4,1,0,2415,55,38,1,-2415,1.25
39,2,15,2,9,0,1,1,0,2415,67,18,1,-2415,1.7179487179487178
46,4,13,2,11,0,4,1,0,2415,40,38,1,-2415,0.8695652173913043
39,2,10,2,4,0,4,1,0,2415,99,38,1,-2415,2.5384615384615383
